Date,Source,Signal Type,Ticker,Entity,Direction,Value (USD),Traded At,More Info
2026-03-24 11:33,sec_form144,form144_presale,,Jagdeep Singh,SELL,13570.48,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 11:33,sec_form144,form144_presale,,David Vice,SELL,5916.56,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 11:33,sec_form144,form144_presale,,Eric Batill,SELL,14274.95,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 11:33,sec_form144,form144_presale,,Michael Sentonas,SELL,7921103.0,2026-03-23,"CrowdStrike Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,N/A,Pollack Jonathan Lee,BUY,617977.5,2026-03-20,"Starwood Real Estate Income Trust, Inc."
2026-03-24 10:05,sec_form4,insider_buy,NN,Insley Susan Brasse,BUY,65177.89,2026-03-19,NEXTNAV INC.
2026-03-24 10:05,sec_form4,insider_buy,ALK,Berry Jason M,BUY,10297.89,2026-03-20,"ALASKA AIR GROUP, INC."
2026-03-24 10:05,sec_form4,insider_buy,NN,Black James S,BUY,169428.2646,2026-03-19,NEXTNAV INC.
2026-03-24 10:05,sec_form4,insider_buy,VSCO,McAfee Melinda R.,BUY,650065.75,2026-03-19,Victoria's Secret & Co.
2026-03-24 10:05,sec_form4,insider_buy,AMTX,MCAFEE ERIC A,BUY,792000.0,2026-03-19,"AEMETIS, INC"
2026-03-24 10:05,sec_form4,insider_buy,BCIC,Duka Alexander,BUY,14670.0,2026-03-20,BCP Investment Corp
2026-03-24 10:05,sec_form4,insider_buy,NN,Shams Sammaad,BUY,32000.37,2026-03-19,NEXTNAV INC.
2026-03-24 10:05,sec_form4,insider_sell,KELYA,Soares Nicola M,SELL,5988.290000000001,2026-03-21,KELLY SERVICES INC
2026-03-24 10:05,sec_form4,insider_buy,AASP,Cable Shawn Corey,BUY,4150.0,2026-03-23,Agassi Sports Entertainment Corp.
2026-03-24 10:05,sec_form4,insider_buy,BCIC,Satoren Brandon,BUY,2427.75,2026-03-23,BCP Investment Corp
2026-03-24 10:05,sec_form4,insider_buy,BCIC,Schafer Patrick,BUY,19852.497,2026-03-20,BCP Investment Corp
2026-03-24 10:05,sec_form4,insider_buy,AMTX,BLOCK JOHN R,BUY,26400.0,2026-03-19,"AEMETIS, INC"
2026-03-24 10:05,sec_form4,insider_sell,KELYA,Williams Vanessa Peterson,SELL,8342.95,2026-03-21,KELLY SERVICES INC
2026-03-24 10:05,sec_form4,insider_buy,NN,Gray Timothy,BUY,25444.55,2026-03-19,NEXTNAV INC.
2026-03-24 10:05,sec_form4,insider_sell,CHPT,Wilmer Richard,SELL,44015.4,2026-03-20,"ChargePoint Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_sell,CHPT,Vice John David,SELL,5920.099999999999,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_sell,CHPT,Singh Jagdeep CA,SELL,13578.6,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_sell,CHPT,Batill Eric,SELL,14283.5,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_sell,CHPT,Khetani Mansi,SELL,12248.3,2026-03-23,"ChargePoint Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,STRR,Eberwein Jeffrey E.,BUY,0,2026-03-19,"Star Equity Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,STRR,Diamond Matthew K,BUY,5465.92,2026-03-19,"Star Equity Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,PETV,Costantino Robert J,BUY,25900.0,2026-03-09,"PetVivo Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,PETV,Jasper Joseph William,BUY,25900.0,2026-03-09,"PetVivo Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,PETV,Levitan Diane M,BUY,11100.0,2026-03-09,"PetVivo Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,PETV,Ruben Joshua David,BUY,39835.68,2026-01-02,"PetVivo Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,PETV,Rudelius Robert James,BUY,25900.0,2026-03-09,"PetVivo Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,AUGO,Rosa Luvizotto Glauber,BUY,7578872.490000001,2026-03-19,Aura Minerals Inc.
2026-03-24 10:05,sec_form4,insider_buy,VSCO,Super Hillary,BUY,1126264.9000000001,2026-03-19,Victoria's Secret & Co.
2026-03-24 10:05,sec_form4,insider_buy,VSCO,Preis Elizabeth,BUY,0,2026-03-19,Victoria's Secret & Co.
2026-03-24 10:05,sec_form4,insider_buy,VSCO,Sekella Scott,BUY,0,2026-03-19,Victoria's Secret & Co.
2026-03-24 10:05,sec_form4,insider_buy,VSCO,Borgonovo Lucrecia,BUY,0,2026-03-19,Victoria's Secret & Co.
2026-03-24 10:05,sec_form4,insider_buy,VFF,McLernon John R.,BUY,27250.000000000004,2026-03-19,"Village Farms International, Inc."
2026-03-24 10:05,sec_form4,insider_sell,IMNM,WAGENHEIM PHILIP,SELL,1335626.0,2026-03-20,Immunome Inc.
2026-03-24 10:05,sec_form4,insider_buy,NEOV,Enzendorfer Thomas,BUY,0,2026-03-19,NeoVolta Inc.
2026-03-24 10:05,sec_form4,insider_buy,NEOV,Ibrahim Amany,BUY,0,2026-03-19,NeoVolta Inc.
2026-03-24 10:05,sec_form4,insider_buy,GBLI,Riley Brian Joseph,BUY,0,2026-03-05,"Global Indemnity Group, LLC"
2026-03-24 10:05,sec_form4,insider_buy,FLD,Dickman Thomas J,BUY,58.562,2026-03-19,"Fold Holdings, Inc."
2026-03-24 10:05,sec_form4,insider_buy,FLD,Repass Wolfe,BUY,219.296,2026-03-19,"Fold Holdings, Inc."
2026-03-24 09:57,congress,congress_buy,GOOGL,Shelley Moore Capito,BUY,1001.0,2025-04-29,
2026-03-24 09:57,congress,congress_sell,EL,Sheldon Whitehouse,SELL,1001.0,2025-04-29,
2026-03-24 09:57,congress,congress_sell,SIRI,John Hickenlooper,SELL,50001.0,2025-04-25,
2026-03-24 09:57,congress,congress_sell,LBRDK,John Hickenlooper,SELL,100001.0,2025-05-09,
2026-03-24 09:57,congress,congress_sell,FWONK,John Hickenlooper,SELL,15001.0,2025-05-09,
2026-03-24 09:57,congress,congress_sell,IJR,David H. McCormick,SELL,1001.0,2025-05-06,
2026-03-24 09:57,congress,congress_buy,GOOG,John Fetterman,BUY,1001.0,2025-05-15,
2026-03-24 09:57,congress,congress_buy,LPLA,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,ADBE,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,LRCX,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,TMO,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,VLO,Markwayne Mullin,BUY,50001.0,2025-05-13,
2026-03-24 09:57,congress,congress_sell,SPY,Markwayne Mullin,SELL,500001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,AMAT,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,TXN,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,LHX,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,CSX,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,COP,Markwayne Mullin,BUY,15001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,CVX,Markwayne Mullin,BUY,50001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,ZTS,Markwayne Mullin,BUY,50001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,LBRDK,John Hickenlooper,BUY,250001.0,2025-05-19,
2026-03-24 09:57,congress,congress_buy,GOOGL,Shelley Moore Capito,BUY,1001.0,2025-05-08,
2026-03-24 09:57,congress,congress_buy,NVDA,John Boozman,BUY,1001.0,2025-05-13,
2026-03-24 09:57,congress,congress_buy,META,John Boozman,BUY,1001.0,2025-05-16,
2026-03-24 09:57,congress,congress_buy,HD,John Boozman,BUY,1001.0,2025-05-16,
2026-03-24 09:57,congress,congress_buy,AMZN,John Boozman,BUY,1001.0,2025-05-16,
2026-03-24 09:57,congress,congress_buy,GOOGL,John Boozman,BUY,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_buy,HD,John Boozman,BUY,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_buy,ATO,John Boozman,BUY,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_buy,RTX,John Boozman,BUY,1001.0,2025-05-30,
2026-03-24 09:57,congress,congress_buy,META,John Boozman,BUY,1001.0,2025-05-30,
2026-03-24 09:57,congress,congress_sell,VLO,John Boozman,SELL,1001.0,2025-05-13,
2026-03-24 09:57,congress,congress_sell,TBLL,John Boozman,SELL,1001.0,2025-05-16,
2026-03-24 09:57,congress,congress_sell,LOW,John Boozman,SELL,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_sell,DTE,John Boozman,SELL,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_sell,GD,John Boozman,SELL,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_sell,NRG,John Boozman,SELL,1001.0,2025-05-20,
2026-03-24 09:57,congress,congress_sell,FBIN,John Boozman,SELL,1001.0,2025-05-30,
2026-03-24 09:57,congress,congress_buy,GOOG,Jerry Moran,BUY,1001.0,2025-05-08,
2026-03-24 09:57,congress,congress_buy,WFC,A. Mitchell Jr. McConnell,BUY,1001.0,2025-06-01,
2026-03-24 09:57,congress,congress_sell,PFE,Ron Wyden,SELL,1001.0,2025-06-03,
2026-03-24 09:57,congress,congress_sell,ADI,Shelley Moore Capito,SELL,1001.0,2025-06-18,
